Hex,L,A,B,green,blue,purple,red,pink,yellow,orange,brown,teal,lightblue,grey,limegreen,magenta,lightgreen,brightgreen,skyblue,cyan,turquoise,darkblue,darkgreen,aqua,olive,navyblue,lavender,fuchsia,black,royalblue,violet,hotpink,tan,forestgreen,lightpurple,neongreen,yellowgreen,maroon,darkpurple,salmon,peach,beige,lime,seafoamgreen,mustard,brightblue,lilac,seagreen,palegreen,bluegreen,mint,lightbrown,mauve,darkred,greyblue,burntorange,darkpink,indigo,periwinkle,bluegrey,lightpink,aquamarine,gold,brightpurple,grassgreen,redorange,bluepurple,greygreen,kellygreen,puke,rose,darkteal,babyblue,paleblue,greenyellow,brickred,lightgrey,darkgrey,white,brightpink,chartreuse,purpleblue,royalpurple,burgundy,goldenrod,darkbrown,lightorange,darkorange,redbrown,paleyellow,plum,offwhite,pinkpurple,darkyellow,lightyellow,mustardyellow,brightred,peagreen,khaki,orangered,crimson,deepblue,springgreen,cream,palepink,yelloworange,deeppurple,pinkred,pastelgreen,sand,rust,lightred,taupe,armygreen,robinseggblue,huntergreen,greenblue,lightteal,cerulean,flesh,orangebrown,slateblue,slate,coral,blueviolet,ochre,leafgreen,electricblue,seablue,midnightblue,steelblue,brick,palepurple,mediumblue,burntsienna,darkmagenta,eggplant,sage,darkturquoise,puce,bloodred,neonpurple,mossgreen,terracotta,oceanblue,yellowbrown,brightyellow,dustyrose,applegreen,neonpink,skin,cornflowerblue,lightturquoise,wine,deepred,azure
#4e66b6,45,15,-45,0,258,14,0,0,0,0,0,0,15,0,0,0,0,0,8,0,0,9,0,0,0,6,4,0,0,7,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,6,0,0,6,12,4,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,2
#ccabf0,75,25,-30,0,4,34,0,13,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,67,2,0,0,13,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,8,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#aedbf0,85,-10,-15,0,49,0,0,0,0,0,0,5,100,6,0,0,0,0,62,8,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,23,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#7e44ea,45,60,-75,0,73,207,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,34,0,0,0,22,0,0,0,2,0,0,0,0,0,0,2,9,0,0,0,0,0,4,0,0,0,0,13,12,0,0,0,0,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
#2e30e7,35,60,-90,0,775,28,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,16,0,0,0,4,0,0,0,63,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2
#5cd6f4,80,-25,-25,0,142,0,0,0,0,0,0,31,146,0,0,0,0,0,107,72,36,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3
#6f8b72,55,-15,10,30,3,0,0,0,0,0,0,8,0,62,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
#564500,30,0,40,6,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#da239b,50,75,-20,0,0,60,2,203,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,2,73,0,0,9,51,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
#9b2ba1,40,60,-40,0,0,335,0,8,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,12,0,0,34,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#b43ddf,50,70,-60,0,3,321,0,18,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,16,15,0,0,39,2,0,0,38,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#5e60bf,45,25,-50,0,161,46,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,4,0,0,0,3,10,0,0,5,10,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,0,10,19,2,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
#6ccd7f,75,-45,30,166,2,0,0,0,0,0,0,15,0,0,3,0,54,0,0,2,6,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,24,0,0,0,16,21,6,20,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
#020015,0,5,-10,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,19,0,0,92,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#4cff2a,90,-80,80,377,0,0,0,0,3,0,0,0,0,0,152,0,48,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,8,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
#0f1f5f,15,20,-40,0,83,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,95,0,0,2,15,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#00caef,75,-30,-30,0,166,0,0,0,0,0,0,37,123,0,0,0,0,0,92,82,47,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,4
#60d11c,75,-60,70,559,0,0,0,0,0,0,0,0,0,0,122,0,59,64,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,2,0,20,22,0,0,0,0,0,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,7,3,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
#9b5942,45,25,25,0,0,0,4,2,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
#d37a41,60,30,45,0,0,0,3,2,0,66,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,10,12,2,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,6,0,0,0,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
#00cdd3,75,-40,-15,4,141,0,0,0,0,0,0,99,95,0,0,0,0,0,50,102,91,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,5,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3
#315eea,45,35,-75,0,509,5,0,0,0,0,0,0,31,0,0,0,0,0,23,2,0,3,0,0,0,2,2,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,3
#874e57,40,25,5,0,0,23,5,3,0,0,17,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,2,22,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
#d4c95c,80,-10,55,8,0,0,0,0,46,3,6,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,33,0,0,0,6,0,0,0,2,17,0,0,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,5,0,0,0,0,6,0,0,0,6,4,6,0,0,7,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
#4e9257,55,-35,25,176,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,2,0,19,2,9,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
#821f48,30,45,0,0,0,55,11,5,0,0,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
#2b72e7,50,20,-65,0,487,2,0,0,0,0,0,0,63,0,0,0,0,0,46,4,2,2,0,3,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,5,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,5
#e8af39,75,10,65,0,0,0,0,0,38,90,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,7,4,0,0,21,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,18,2,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
#542cd6,35,60,-80,0,404,152,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,0,0,0,4,5,0,0,37,28,0,0,0,6,0,0,0,4,0,0,0,0,0,0,12,2,0,0,0,0,0,2,0,0,0,0,30,8,0,0,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
#d4d4d4,85,0,0,0,6,2,0,5,0,0,0,0,11,132,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,5,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,2,0,5,0,0,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,38,0,7,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
