C Prob,C Hex,saliency,DE center-related,R-C  prob,Clab L,Clab a,Clab b,Number of Records,RC Prob,R Hex,Rlab L,Rlab a,Rlab b,Entropy,Frequency,Rel Term,RT Score,Term
0.829333333,#00a025,10.389438756,2.236067977,0,57,-61,50,1,0.829333333,#009a20,55,-60,50,-10.389438756,323863,green,0.50888,green
0.767399267,#0032f7,10.412114309,13.601470509,0.065934066,35,62,-99,1,0.833333333,#004aff,40,50,-95,-10.412114309,297936,blue,0.50774,blue
0.772388060,#7f169e,10.769934108,5.830951895,0.004148253,33,60,-50,1,0.776536313,#7e0096,30,65,-50,-10.769934108,254289,purple,0.46846,purple
0.848084544,#db000c,8.947043050,1.414213562,0.027159120,45,74,56,1,0.875243665,#dc000f,45,75,55,-8.947043050,72067,red,0.50466,red
0.772321429,#ff8ac3,10.441320611,4.898979486,0.067373228,73,54,-8,1,0.839694656,#ff94cc,75,50,-10,-10.441320611,135741,pink,0.40626,pink
0.905569007,#fff617,8.630156541,4.472135955,0.024758862,95,-17,91,1,0.930327869,#fff500,95,-15,95,-8.630156541,45678,yellow,0.47347,yellow
0.932584270,#fd7c00,8.998472693,6.164414003,0.008592201,66,44,74,1,0.941176471,#ff7300,65,50,75,-8.998472693,54553,orange,0.50539,orange
0.934065934,#643b07,10.298488021,5.744562647,0.007681639,29,14,36,1,0.941747573,#5b3100,25,15,40,-10.298488021,77001,brown,0.47771,brown
0.351084813,#008e83,9.932777533,3.605551275,0.004657484,53,-35,-3,1,0.355742297,#00877e,50,-35,-5,-9.932777533,58757,teal,0.16388,teal
0.343511450,#b0e8ff,10.030772895,3,0.014870053,89,-12,-18,1,0.358381503,#b5eaff,90,-10,-20,-10.030772895,61148,lightblue,0.16795,lightblue
0.837104072,#858380,9.979489466,5.385164807,0.004097644,55,0,2,1,0.841201717,#919191,60,0,0,-9.979489466,53757,grey,0.377,grey
0.269340974,#96f900,8.971118900,1.732050808,0,89,-59,86,1,0.269340974,#96fc10,90,-60,85,-8.971118900,33345,limegreen,0.12847,limegreen
0.269585253,#b30062,9.922282250,3,0.012900622,38,68,-4,1,0.282485876,#bb0069,40,70,-5,-9.922282250,45192,magenta,0.14178,magenta
0.319767442,#b9ff9f,10.104063875,1.414213562,0,95,-41,41,1,0.319767442,#bbffa1,95,-40,40,-10.104063875,52321,lightgreen,0.13219,lightgreen
0.175716440,#08fc13,8.324292645,2.236067977,0,87,-85,81,1,0.175716440,#00f70c,85,-85,80,-8.324292645,20220,brightgreen,0.09168,brightgreen
0.244360902,#86caff,9.692544626,2.449489743,0.003502346,79,-7,-34,1,0.247863248,#8dccff,80,-5,-35,-9.692544626,36608,skyblue,0.12179,skyblue
0.251396648,#14fbfc,9.140180972,3.162277660,0.011761247,90,-47,-14,1,0.263157895,#00fdfd,90,-50,-15,-9.140180972,25538,cyan,0.11252,cyan
0.160220994,#00c1ab,9.600150020,4.472135955,0.003766144,70,-47,-1,1,0.163987138,#00c1b3,70,-45,-5,-9.600150020,30143,turquoise,0.08822,turquoise
,#001b55,9.551680967,10.816653826,,12,17,-38,1,0.277372263,#00125a,10,25,-45,-9.551680967,24765,darkblue,0.12888,darkblue
0.418918919,#002601,9.532015917,4.123105626,0.016564952,12,-23,17,1,0.435483871,#002300,10,-25,20,-9.532015917,25190,darkgreen,0.17943,darkgreen
0.128140704,#06f5d2,9.559968142,3.741657387,0.006005638,87,-56,3,1,0.134146341,#3cfdd7,90,-55,5,-9.559968142,24383,aqua,0.07329,aqua
0.396039604,#6d7516,10.137049563,8.246211251,0.016241098,47,-15,47,1,0.412280702,#6a7000,45,-15,55,-10.137049563,30913,olive,0.16692,olive
0.417142857,#001942,9.403833140,3.162277660,0.013891626,9,8,-30,1,0.431034483,#001c45,10,5,-30,-9.403833140,21669,navyblue,0.169,navyblue
0.272357724,#cdaaf2,10.401108949,6.480740698,0.001023571,75,26,-31,1,0.273381295,#d5b9ff,80,25,-35,-10.401108949,31029,lavender,0.12099,lavender
0.136194030,#cc0094,9.836705713,4.472135955,0.004346511,45,78,-24,1,0.140540541,#d1008e,45,80,-20,-9.836705713,23718,fuchsia,0.07546,fuchsia
0.903225806,#010500,8.668571808,3,0,1,-2,2,1,0.903225806,#000000,0,0,0,-8.668571808,13953,black,0.39978,black
0.108019640,#000494,9.189560469,5.099019514,0.008014115,16,51,-72,1,0.116033755,#000096,15,55,-75,-9.189560469,16022,royalblue,0.05698,royalblue
0.084179971,#9327ef,10.893800263,5.196152423,0.001267292,44,75,-79,1,0.085447263,#9d1cf4,45,80,-80,-10.893800263,34281,violet,0.05444,violet
0.216027875,#ff0077,8.882856448,5,0.002722125,55,85,10,1,0.21875,#ff006e,55,85,15,-8.882856448,14869,hotpink,0.09665,hotpink
0.363636364,#d3b572,10.016376314,2.828427125,0,75,2,38,1,0.363636364,#d1b66e,75,0,40,-10.016376314,24537,tan,0.1553,tan
0.232,#064019,9.540273057,3.741657387,0.008740741,23,-28,19,1,0.240740741,#003a11,20,-30,20,-9.540273057,20018,forestgreen,0.1166,forestgreen
0.181818182,#c687ff,10.595778312,4.690415760,0.011418533,67,47,-52,1,0.193236715,#c37fff,65,50,-55,-10.595778312,30950,lightpurple,0.08728,lightpurple
0.124641834,#2efc00,7.882380063,3.741657387,0.003249323,87,-83,84,1,0.127891156,#31ff02,90,-85,85,-7.882380063,8904,neongreen,0.05804,neongreen
0.174008811,#c6f335,9.431242581,5.916079783,0.007498039,90,-38,79,1,0.181506849,#bde31d,85,-35,80,-9.431242581,17121,yellowgreen,0.08556,yellowgreen
0.317708333,#630120,9.585668966,6.164414003,0.006155303,19,41,11,1,0.323863636,#5f1223,20,35,10,-9.585668966,16740,maroon,0.14246,maroon
0.284722222,#320a33,9.984947646,6.708203932,0.017909357,10,26,-17,1,0.302631579,#2c0025,5,30,-15,-9.984947646,17535,darkpurple,0.10743,darkpurple
0.353846154,#ff8573,9.601678195,5.196152423,0.008058608,69,45,31,1,0.361904762,#ff8378,70,50,30,-9.601678195,15066,salmon,0.13748,salmon
0.377358491,#ffb983,9.298747489,4.582575695,0.037055924,81,21,38,1,0.414414414,#ffb37d,80,25,40,-9.298747489,12420,peach,0.15444,peach
0.269565217,#e7daa3,9.707911413,2.449489743,0,87,-4,29,1,0.269565217,#e0d59b,85,-5,30,-9.707911413,14680,beige,0.1194,beige
0.093959732,#bdff25,9.266404378,4.242640687,0.003418546,94,-49,86,1,0.097378277,#bfff0e,95,-50,90,-9.266404378,12257,lime,0.04465,lime
0.108208955,#99f6b7,9.652228231,5.477225575,0.001301131,90,-41,22,1,0.109510086,#8be8ad,85,-40,20,-9.652228231,14733,seafoamgreen,0.05197,seafoamgreen
0.177650430,#caac0d,8.982760824,3.741657387,0.011743510,71,-3,72,1,0.189393939,#c4ab00,70,-5,75,-8.982760824,9108,mustard,0.0805,mustard
0.053658537,#004fff,9.190136837,18,0.008625200,42,49,-93,1,0.062283737,#006cff,50,35,-85,-9.190136837,9044,brightblue,0.0287,brightblue
0.138211382,#cfaef3,10.420416872,8.124038405,0.004645761,76,25,-30,1,0.142857143,#dfb5ff,80,30,-35,-10.420416872,16358,lilac,0.05948,lilac
0.061469265,#1bf59f,9.832673446,8.306623863,0.003046864,86,-67,28,1,0.064516129,#63fea6,90,-60,30,-9.832673446,12763,seagreen,0.03617,seagreen
0.17,#cbfbb5,10.048252031,2.449489743,0,94,-28,29,1,0.17,#caffb5,95,-30,30,-10.048252031,14123,palegreen,0.05915,palegreen
0.0859375,#006d66,9.822819223,4.242640687,0.001019022,41,-29,-4,1,0.086956522,#116966,40,-25,-5,-9.822819223,12032,bluegreen,0.03709,bluegreen
0.107692308,#baffc3,9.588442970,2.236067977,0.006891026,95,-34,23,1,0.114583333,#baffbf,95,-35,25,-9.588442970,11488,mint,0.04512,mint
0.225274725,#ae8357,9.976328587,2.236067977,0,58,11,30,1,0.225274725,#b2895c,60,10,30,-9.976328587,12883,lightbrown,0.08492,lightbrown
0.196721311,#a06f78,11.223202732,3.741657387,0.004771226,52,21,3,1,0.201492537,#a8777c,55,20,5,-11.223202732,19947,mauve,0.05511,mauve
0.162162162,#740006,8.719885827,3,0.015257193,22,47,31,1,0.177419355,#6c0002,20,45,30,-8.719885827,6850,darkred,0.08058,darkred
0.152,#6a8b9c,9.986149234,3,0,56,-7,-13,1,0.152,#6a879d,55,-5,-15,-9.986149234,11647,greyblue,0.05547,greyblue
0.163009404,#bc5303,8.973380009,3.741657387,0.001112733,48,39,57,1,0.164122137,#b34a01,45,40,55,-8.973380009,7582,burntorange,0.07083,burntorange
0.099601594,#c34567,10.236832749,4.690415760,0.005902994,48,53,8,1,0.105504587,#c44e70,50,50,5,-10.236832749,12452,darkpink,0.04311,darkpink
0.048275862,#330067,10.016752919,8.831760866,0.009547267,13,45,-48,1,0.057823129,#360076,15,50,-55,-10.016752919,10837,indigo,0.0285,indigo
0.112403101,#8e8ef3,10.057434336,10.488088482,0.001882614,63,25,-51,1,0.114285714,#9091ff,65,30,-60,-10.057434336,11376,periwinkle,0.04608,periwinkle
0.135458167,#657c8f,9.896930246,4.582575695,0.004541833,51,-4,-13,1,0.14,#6a879d,55,-5,-15,-9.896930246,10418,bluegrey,0.05574,bluegrey
0.237804878,#ffdae8,9.497284741,6,0.000290360,91,17,-1,1,0.238095238,#ffe7fb,95,15,-5,-9.497284741,8583,lightpink,0.08157,lightpink
0.044016506,#00d6b7,9.573512591,3.741657387,0.000598878,77,-51,3,1,0.044615385,#00d0b7,75,-50,0,-9.573512591,8545,aquamarine,0.02447,aquamarine
0.123674912,#d3ad00,8.914024495,2.236067977,0,72,1,75,1,0.123674912,#cca800,70,0,75,-8.914024495,6578,gold,0.06026,gold
0.064432990,#c827ff,9.217397142,2.449489743,0,53,86,-74,1,0.064432990,#cb33ff,55,85,-75,-9.217397142,7373,brightpurple,0.03011,brightpurple
0.041666667,#539d1e,9.497228356,2.449489743,0,58,-44,54,1,0.041666667,#56a221,60,-45,55,-9.497228356,7902,grassgreen,0.0207,grassgreen
0.107871720,#fb4d23,8.276294451,4.582575695,0.007110858,58,64,59,1,0.114982578,#ff5232,60,65,55,-8.276294451,4598,redorange,0.05369,redorange
0.040860215,#6e42ea,9.589268796,5.196152423,0.002050233,43,58,-78,1,0.042910448,#633edc,40,55,-75,-9.589268796,6955,bluepurple,0.02203,bluepurple
0.155555556,#7e9874,9.755311002,1.414213562,0,60,-16,16,1,0.155555556,#809776,60,-15,15,-9.755311002,7534,greygreen,0.05462,greygreen
0.032608696,#00a22e,9.036040082,4.898979486,0.002721565,58,-61,48,1,0.035330261,#00a92e,60,-65,50,-9.036040082,5277,kellygreen,0.01713,kellygreen
0.085910653,#919709,9.834996180,5.744562647,0.011867125,60,-17,62,1,0.097777778,#868900,55,-15,60,-9.834996180,7213,puke,0.03513,puke
0.112994350,#c66270,10.290628000,1.732050808,0,54,41,11,1,0.112994350,#c76674,55,40,10,-10.290628000,9291,rose,0.0391,rose
0.123931624,#004b4c,9.030684873,3.741657387,0.014622593,28,-21,-7,1,0.138554217,#004342,25,-20,-5,-9.030684873,5231,darkteal,0.04679,darkteal
0.083333333,#b7e2ff,9.533463760,6.164414003,0.000387597,88,-7,-20,1,0.083720930,#acd9ff,85,-5,-25,-9.533463760,6825,babyblue,0.03109,babyblue
0.117117117,#dbf9ff,9.862933354,4.898979486,0.008933303,96,-8,-7,1,0.126050420,#e4ffff,100,-10,-5,-9.862933354,7419,paleblue,0.03527,paleblue
0.074074074,#ccf90e,9.104834452,4.358898944,0.000424493,92,-39,88,1,0.074498567,#d3ff30,95,-40,85,-9.104834452,5345,greenyellow,0.0333,greenyellow
0.089743590,#96271a,8.993823960,5.099019514,0.005844646,34,45,35,1,0.095588235,#982a25,35,45,30,-8.993823960,5192,brickred,0.04709,brickred
0.123134328,#d8dbd4,8.591288901,4.123105626,0.017087074,87,-2,3,1,0.140221402,#d4d4d4,85,0,0,-8.591288901,3916,lightgrey,0.05716,lightgrey
0.271317829,#3c3b3d,8.902775406,1.414213562,0,25,1,-1,1,0.271317829,#3b3b3b,25,0,0,-8.902775406,4626,darkgrey,0.08972,darkgrey
0.402877698,#fffeff,7.285049336,2.236067977,0,100,2,-1,1,0.402877698,#ffffff,100,0,0,-7.285049336,2260,white,0.12705,white
0.056910569,#ff01ae,8.771628108,2.236067977,0,57,89,-20,1,0.056910569,#fd00a9,55,90,-20,-8.771628108,4237,brightpink,0.02747,brightpink
0.051229508,#bdeb00,9.117958474,10.770329614,0.005108520,87,-39,86,1,0.056338028,#caff11,95,-45,90,-9.117958474,4610,chartreuse,0.0242,chartreuse
0.030107527,#7447f1,9.483520553,6.480740698,0.003115064,45,59,-79,1,0.033222591,#7858ff,50,55,-80,-9.483520553,5253,purpleblue,0.01717,purpleblue
0.063492063,#4b0060,9.630442084,2.828427125,0,17,45,-37,1,0.063492063,#480058,15,45,-35,-9.630442084,5591,royalpurple,0.02343,royalpurple
0.112820513,#61001c,9.219124275,4.690415760,0.009820997,18,42,13,1,0.122641509,#56001a,15,40,10,-9.219124275,4976,burgundy,0.05046,burgundy
0.073349633,#e3b200,8.538186450,2,0.006235142,75,5,78,1,0.079584775,#e3b200,75,5,80,-8.538186450,3593,goldenrod,0.04029,goldenrod
0.229885057,#2d1c07,8.848737725,5.477225575,0.012050426,12,6,15,1,0.241935484,#2a1800,10,5,20,-8.848737725,4003,darkbrown,0.09276,darkbrown
0.132183908,#ffbc5a,8.819292275,4.582575695,0.015467099,81,16,58,1,0.147651007,#ffb654,80,20,60,-8.819292275,3943,lightorange,0.05127,lightorange
0.078291815,#bf4b00,8.743456506,3,0.009337051,47,44,58,1,0.087628866,#ba4400,45,45,60,-8.743456506,3674,darkorange,0.03622,darkorange
0.103448276,#903d2f,9.387152817,2.449489743,0,37,34,26,1,0.103448276,#8b382c,35,35,25,-9.387152817,4901,redbrown,0.04533,redbrown
0.169354839,#ffff99,8.210935998,4.123105626,0.009216590,100,-14,51,1,0.178571429,#ffff91,100,-15,55,-8.210935998,2871,paleyellow,0.06267,paleyellow
0.085106383,#622f4a,9.916032157,3.741657387,0.003128911,27,27,-6,1,0.088235294,#68374f,30,25,-5,-9.916032157,5880,plum,0.0358,plum
0.169014085,#ffffea,8.084158303,2.236067977,0,100,-3,11,1,0.169014085,#fdffeb,100,-5,10,-8.084158303,2672,offwhite,0.06946,offwhite
0.027874564,#c659a8,9.944591887,5.385164807,0.002776777,54,53,-22,1,0.030651341,#b8519a,50,50,-20,-9.944591887,5852,pinkpurple,0.01785,pinkpurple
0.064393939,#c4ab00,8.867750753,2,0,70,-5,73,1,0.064393939,#c4ab00,70,-5,75,-8.867750753,3498,darkyellow,0.02999,darkyellow
0.153225806,#ffff91,8.019692508,1,0.025345622,100,-14,55,1,0.178571429,#ffff91,100,-15,55,-8.019692508,2447,lightyellow,0.06114,lightyellow
0.066115702,#c5b200,8.610816052,2.828427125,0,72,-8,75,1,0.066115702,#bcae00,70,-10,75,-8.610816052,3139,mustardyellow,0.03105,mustardyellow
0.064833006,#ff0c24,7.165639516,9.055385138,0.000844960,54,80,56,1,0.065677966,#ff150f,55,80,65,-7.165639516,1749,brightred,0.0338,brightred
0.041208791,#8aa310,9.887868156,3.741657387,0.002791209,63,-26,63,1,0.044,#849a00,60,-25,65,-9.887868156,4870,peagreen,0.01863,peagreen
0.084269663,#a8a665,9.880112350,3.316624790,0.003642425,67,-9,34,1,0.087912088,#afaf6b,70,-10,35,-9.880112350,4965,khaki,0.03147,khaki
0.056,#f75133,8.126389921,4.123105626,0.002479532,58,62,52,1,0.058479532,#eb4b2f,55,60,50,-8.126389921,2290,orangered,0.02811,orangered
0.0546875,#88000e,8.689643546,6.633249581,0.003090278,27,52,34,1,0.057777778,#810000,25,50,40,-8.689643546,2859,crimson,0.02549,crimson
0.032835821,#00026f,9.190723530,2.236067977,0,10,42,-59,1,0.032835821,#000671,10,40,-60,-9.190723530,3312,deepblue,0.01378,deepblue
0.027624309,#bafe85,9.690730538,6,0.001501904,93,-41,51,1,0.029126214,#b9ff81,95,-45,55,-9.690730538,4612,springgreen,0.01188,springgreen
0.140350877,#ffffca,8.079011778,3.605551275,0.034406404,100,-8,27,1,0.174757282,#ffffce,100,-5,25,-8.079011778,2159,cream,0.05946,cream
0.103658537,#ffdee9,9.088958752,5.830951895,0.001103368,92,15,0,1,0.104761905,#ffe7fb,95,15,-5,-9.088958752,3211,palepink,0.03801,palepink
0.080508475,#ffb828,7.875047031,5,0.009887006,80,17,76,1,0.090395480,#ffb618,80,20,80,-7.875047031,2039,yelloworange,0.03998,yelloworange
0.0625,#2c0026,9.593101907,3.316624790,0.016447368,6,27,-14,1,0.078947368,#2c0025,5,30,-15,-9.593101907,4070,deeppurple,0.02496,deeppurple
0.045553145,#ed1a4b,8.583022329,8.124038405,0.003586904,51,75,30,1,0.049140049,#ff194d,55,80,35,-8.583022329,2649,pinkred,0.02432,pinkred
0.049450549,#bcffa6,9.525600254,2.449489743,0,94,-37,36,1,0.049450549,#c2ffab,95,-35,35,-9.525600254,4148,pastelgreen,0.01881,pastelgreen
0.068807339,#e3cf79,9.364247945,2.236067977,0,83,-4,45,1,0.068807339,#e7d57e,85,-5,45,-9.364247945,3716,sand,0.03157,sand
0.065134100,#a03b12,9.094553253,7.211102551,0.001979994,39,40,44,1,0.067114094,#943100,35,40,50,-9.094553253,3191,rust,0.02931,rust
0.059701493,#ff5756,9.041314266,6,0.005339158,61,64,37,1,0.065040650,#ff6963,65,60,35,-9.041314266,3085,lightred,0.02608,lightred
0.070175439,#ac9178,9.751499292,4.358898944,0.001647766,62,6,17,1,0.071823204,#b49a7a,65,5,20,-9.751499292,3888,taupe,0.0283,taupe
0.064935065,#4d5415,9.428050556,7.483314774,0.006493506,34,-12,34,1,0.071428571,#484a00,30,-10,40,-9.428050556,3503,armygreen,0.02984,armygreen
0.025104603,#b5f6ff,9.322777436,12.206555616,0.000105482,93,-18,-11,1,0.025210084,#e4ffff,100,-10,-5,-9.322777436,3415,robinseggblue,0.01227,robinseggblue
0.049645390,#002b00,8.979056343,10.049875621,0.004702436,14,-25,20,1,0.054347826,#002e17,15,-25,10,-8.979056343,2893,huntergreen,0.02573,huntergreen
0.021538462,#007764,9.335707241,18.574175621,0.002413634,44,-35,2,1,0.023952096,#00514e,30,-25,-5,-9.335707241,3237,greenblue,0.01206,greenblue
0.029508197,#9bdcc3,9.396430048,3.316624790,0.001526286,83,-26,6,1,0.031034483,#94d3bc,80,-25,5,-9.396430048,3513,lightteal,0.0132,lightteal
0.017408124,#007ba9,9.638204247,3.464101615,0.002542001,48,-13,-33,1,0.019950125,#0081b2,50,-15,-35,-9.638204247,3324,cerulean,0.00862,cerulean
0.083333333,#ffcdab,8.831147580,1.732050808,0,86,14,24,1,0.083333333,#ffc9a6,85,15,25,-8.831147580,2402,flesh,0.03402,flesh
0.052083333,#b46206,8.728977936,4.242640687,0.004326923,50,28,57,1,0.056410256,#b06400,50,25,60,-8.728977936,2306,orangebrown,0.02536,orangebrown
0.045774648,#5e7a95,9.351690911,3.605551275,0.002034117,50,-3,-18,1,0.047808765,#5d7b90,50,-5,-15,-9.351690911,2896,slateblue,0.018,slateblue
0.048780488,#50606d,9.617979310,4.472135955,0.002765904,40,-3,-9,1,0.051546392,#516166,40,-5,-5,-9.617979310,3163,slate,0.02102,slate
0.060402685,#ff685e,8.799722438,5.099019514,0.014427247,64,58,36,1,0.074829932,#ff6f59,65,55,40,-8.799722438,2234,coral,0.0267,coral
0.016483516,#6c35d7,9.132519854,33.436506995,0.001898836,39,59,-74,1,0.018382353,#7d00ff,40,85,-95,-9.132519854,2426,blueviolet,0.00922,blueviolet
0.04,#ba9003,9.500997044,5,0.001237113,62,5,66,1,0.041237113,#c39800,65,5,70,-9.500997044,2832,ochre,0.01722,ochre
0.015086207,#5e9e1b,9.405770354,9.899494937,0.002457653,59,-41,56,1,0.017543860,#5ba200,60,-45,65,-9.405770354,2758,leafgreen,0.00814,leafgreen
0.014473684,#001ffd,8.732626265,10.049875621,0.003330470,34,72,-104,1,0.017804154,#150fff,35,80,-110,-8.732626265,1882,electricblue,0.00734,electricblue
0.018475751,#006f93,9.516853811,4.242640687,0.003746472,43,-15,-28,1,0.022222222,#006787,40,-15,-25,-9.516853811,2706,seablue,0.0089,seablue
0.063829787,#00022d,8.701329760,2.449489743,0,2,11,-26,1,0.063829787,#000028,0,10,-25,-8.701329760,2005,midnightblue,0.02513,midnightblue
0.0375,#607995,9.195818377,5.744562647,0.002985830,50,-2,-18,1,0.040485830,#6f85a6,55,0,-20,-9.195818377,2425,steelblue,0.01624,steelblue
0.041237113,#a54030,9.098948314,6.164414003,0.003706707,41,41,31,1,0.044943820,#a03f38,40,40,25,-9.098948314,2279,brick,0.02009,brick
0.021834061,#bd9bbc,9.741194579,11.045361017,0.008653744,68,18,-12,1,0.030487805,#a7889a,60,15,-5,-9.741194579,2975,palepurple,0.01605,palepurple
0.014799154,#0066b1,9.313474505,3.741657387,0.001913938,42,4,-47,1,0.016713092,#0061b0,40,5,-50,-9.313474505,2357,mediumblue,0.00779,mediumblue
0.038314176,#a44217,8.915337935,8.717797887,0.001954280,41,38,44,1,0.040268456,#943100,35,40,50,-8.915337935,2034,burntsienna,0.01965,burntsienna
0.031034483,#900053,8.866708320,7.071067812,0.004679803,30,59,-7,1,0.035714286,#940049,30,60,0,-8.866708320,1904,darkmagenta,0.01439,darkmagenta
0.048611111,#47253c,9.265747366,7.681145748,0.004020468,20,20,-8,1,0.052631579,#4e3343,25,15,-5,-9.265747366,2349,eggplant,0.02319,eggplant
0.050505051,#97b785,9.332640225,2.236067977,0,71,-20,22,1,0.050505051,#93b486,70,-20,20,-9.332640225,2367,sage,0.01792,sage
0.035175879,#004b4e,8.631778200,3.741657387,0.003583811,28,-21,-8,1,0.038759690,#00444a,25,-20,-10,-8.631778200,1687,darkturquoise,0.01506,darkturquoise
0.034188034,#935f62,10.000437072,3,0,46,22,7,1,0.034188034,#8d5e63,45,20,5,-10.000437072,2775,puce,0.01278,puce
0.035,#8c0003,7.885418110,3.605551275,0.005,28,52,40,1,0.04,#810000,25,50,40,-7.885418110,1203,bloodred,0.01815,bloodred
0.015985790,#d140ff,8.459235424,9.695359715,0.002953604,57,82,-71,1,0.018939394,#d554ff,60,75,-65,-8.459235424,1618,neonpurple,0.00966,neonpurple
0.021164021,#6d8a48,9.676620102,7,0.007137866,54,-22,32,1,0.028301887,#769b5a,60,-25,30,-9.676620102,2487,mossgreen,0.01219,mossgreen
0.044943820,#c26448,8.997369843,2.828427125,0,53,35,33,1,0.044943820,#c86949,55,35,35,-8.997369843,1899,terracotta,0.01865,terracotta
0.012315271,#006185,9.411386185,8.774964387,0.004926108,38,-13,-27,1,0.017241379,#004d6d,30,-10,-25,-9.411386185,2093,oceanblue,0.00719,oceanblue
0.040650407,#997800,8.666677270,3.605551275,0.003597381,52,3,60,1,0.044247788,#8f7500,50,0,60,-8.666677270,1617,yellowbrown,0.01864,yellowbrown
0.047468354,#f7f900,6.523028208,2.236067977,0,95,-22,94,1,0.047468354,#fbf800,95,-20,95,-6.523028208,642,brightyellow,0.02036,brightyellow
0.050724638,#bc7673,9.108922429,4.123105626,0.003697131,57,27,13,1,0.054421769,#bb6f6b,55,30,15,-9.108922429,1935,dustyrose,0.02145,dustyrose
0.011876485,#8fd748,8.929418456,1.414213562,0,79,-45,61,1,0.011876485,#91da4d,80,-45,60,-8.929418456,1721,applegreen,0.00582,applegreen
0.020325203,#ff00ae,7.977896026,5.385164807,0.002610577,57,90,-20,1,0.022935780,#ff00a0,55,90,-15,-7.977896026,1112,neonpink,0.01108,neonpink
0.052631579,#ffd1ab,8.393822706,3.162277660,0.003368421,87,11,25,1,0.056,#ffdab3,90,10,25,-8.393822706,1341,skin,0.02446,skin
0.014619883,#7e8bf1,9.354178767,7,0.001909043,61,22,-53,1,0.016528926,#6d7ddb,55,20,-50,-9.354178767,1999,cornflowerblue,0.008,cornflowerblue
0.017467249,#9cfedc,8.708427881,3.741657387,0.001137402,93,-36,7,1,0.018604651,#a9ffdc,95,-35,10,-8.708427881,1578,lightturquoise,0.00865,lightturquoise
0.030769231,#620830,8.709568177,6.403124237,0.006267806,20,40,1,1,0.037037037,#550020,15,40,5,-8.709568177,1489,wine,0.01759,wine
0.03125,#840007,7.739534648,1.732050808,0,26,51,36,1,0.03125,#800006,25,50,35,-7.739534648,940,deepred,0.01568,deepred
0.010025063,#4caaff,9.070980682,15.779733838,0.001965345,68,2,-54,1,0.011990408,#0e92ff,60,10,-65,-9.070980682,1645,azure,0.00586,azure
